,username,user_location,user_description,user_verified,date,text,hashtags,source
98,DR. STRANGE 🧠🧠🫀🫀,South Africa,"FOUNDER & PRESIDENT OF LEADERS OF THE UNIVERSE ENTERPRISE. philanthropist, investor, businessman,brain researcher, intern🧠surgeon, health advicer #whyyousingle",False,2022-01-02 17:52:34+00:00,"Welcome to earth

Now we have FLURONA

Mixture or influenza and corona virus 🙆🏻‍♂️🙆🏻‍♂️🙆🏻‍♂️",,Twitter for Android
99,Marjan Fockedey,België,1 Fockedey keeps the vaccine doctor away 🥰 | YES to focused protection 🆓 | People person regardless of vax status 👩🏼‍🤝‍👨🏻|,False,2022-01-02 13:41:05+00:00,Corona disease treatment anno 2022 in Amsterdam 😢 https://t.co/657aZnZYOP,,Twitter for Android
100,Mthuthuzeli  Mpiti,"Cape Town, South Africa","Cars got soul,Love for Fighter Jet Aircraft,Military Stuff & Music.",False,2022-01-02 13:15:25+00:00,@MatraxRacing This was before Corona turned the world upside down 😥,,Twitter for iPhone
101,Nkullii,"Cape Town, South Africa",Nurse Clinician👩🏾‍⚕️ ||Modimo le Badimo.    https://t.co/U2NVfgZxrm  ||thick thighs save lives 🙏🏾 || 11:11 gang,False,2022-01-02 12:33:28+00:00,"Sundays, preparing snacks and salads in the house whilst he’s busy making the fire for a braai🥺 then he takes out a Sav for you, and a Corona for himself bese it’s chill time 🤌🏾",,Twitter for iPhone
102,BethR,South Africa ,"ɪ'ᴍ ᴊᴜsᴛ sᴇᴇᴋɪɴɢ ᴛʜᴇ ᴛʀᴜᴛʜ ɪɴ ᴛʜɪs ғᴀᴋᴇ ᴡᴏʀʟᴅ , ɪ ɴᴇᴇᴅ ᴘᴇᴀᴄᴇ",False,2022-01-02 11:52:54+00:00,Are they counting the common cold as corona ? So then it means they will do this to the flu too. so do you need a flu shot or mrna shot to keep you save or did they discontinue the flu shot for a covid shot or does the flu shot now been replaced with mrna shot . what will help u? https://t.co/JRhFlRtVrQ,,Twitter for Android
103,#ArSilent,South Africa,"Making Original house mixes on SoundCloud, for your pleasure. Podcast coming soon.",False,2022-01-02 10:34:21+00:00,"Influenza + Corona = Florona Disease
👀🙉🙅🏾‍♂️
This can't be true, ITS ONLY DAY TWO 2022 CHILL THE FUCK OUT, OMG 🤣🤣 https://t.co/Ovj7YrCEyG",,Twitter for Android
104,┃Superman┃,"Johannesburg, South Africa",I’m just here for the LOL’s and nothing more,False,2022-01-02 09:51:00+00:00,"Yesterday I drank Gin, Brutal Fruit, Corona, Breezer, Krone and Hunters Dry ..😭",,Twitter for iPhone
105,South AfriKOPITE,South Africa,"LFC adoring, Fun loving, House banging, Graphic designing Instigator. YNWA",False,2022-01-02 09:48:56+00:00,"@ValleyWye @bertiebenbow @calvinrobinson No, we havent.
1. Its not a vaccine. Look up the definition.
2. No flu or cold in over THIRTY years. CORONA Who?",,TweetDeck
106,Richard Geyser,Republic of South Africa,"Liberal 🇿🇦🍽❤️🙏🚵🏼‍♂️🇿🇦Conservative, Retweets not an endorsement my views are my own.",False,2022-01-02 09:14:50+00:00,@VusiSambo The building is a white elephant since the Corona Command Council took over running the country,,Twitter for iPhone
107,𝕶𝖊𝖛𝖎𝖓 𝖙𝖍𝖊 𝕬𝖙𝖍𝖊𝖎𝖘𝖙,"Cape Town, South Africa ","MAGA IS CANCELLED !!
I do not know all the facts but I aspire to learn as much as I can #secularism
I do follow back if you follow
DMs not for dating or romance",False,2022-01-02 09:04:17+00:00,"@CawthornforNC Fool ! Nothing lasts forever but with the way you going on, it is you who wants the pandemic to be forever.  Fauci wants to stop the spread of Corona so as to bring it and the associated practices to stop it to end.",,Twitter Web App
108,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2022-01-02 05:25:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0ZhjhQX https://t.co/DKuZwTyLPS","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
109,Amla Soul🇿🇦🇿🇦,"Cape Town, South Africa","God fearing, deep house DJ a father, Hustler,

Umxhosa wapha kuthi.
NOT INTERESTED IN FOREX TRADING 😡😡😡😡😡😡",False,2022-01-02 05:03:37+00:00,@Tshegof41572260 That equals to Corona,,Twitter for Android
110,Erika follow GTTR ⭕@Getwine,Cape Town ,"Corruption, fraud, bad governance,     incompetence, crime, unemployment, violence 
Economic downfall.. are you not tired of this?
WE ARE. Let's free the Cape",False,2022-01-02 04:51:39+00:00,"@billynyaku 🇺🇬 UGANDA
 UGANDANS DISCOVER THE CORONA SCAM

 Ugandans noticed something suspicious about the COVID funeral They opened the coffin and found there was no body inside and the government faked death to fuel COVID fear https://t.co/EdXKuorhQQ

That is how you deal with politicians",,Twitter for Android
111,Sean Jefferies,"Cape Town, South Africa","Blogger, Christian, Sharks",False,2022-01-02 04:30:18+00:00,"@ScottAdamsSays #massformationpsychosis 
Perhaps, but not to this extent. The societal 'hypnosis' for corona virus and vaccines resembles a complex religious belief that will never end for some.",['massformationpsychosis'],Twitter Web App
112,Erika follow GTTR ⭕@Getwine,Cape Town ,"Corruption, fraud, bad governance,     incompetence, crime, unemployment, violence 
Economic downfall.. are you not tired of this?
WE ARE. Let's free the Cape",False,2022-01-02 04:14:09+00:00,"🇺🇬 UGANDA

 UGANDANS DISCOVER THE CORONA SCAM

 Ugandans noticed something suspicious about the COVID funeral.  They opened the coffin and found there was no body inside and the government faked death to fuel COVID fear.    @PartyOfAction  we must act now https://t.co/EdXKuorhQQ",,Twitter for Android
113,"In God we trust, everyone else bring data",Afrika Borwa,Jesus Christ is the only answer | Romans 10:9-17 | Peace unto Jerusalem | Geseën | #ACDP | Dataholic | Exposing COVID19 Askari | https://t.co/mSgcxqBE45 |,False,2022-01-02 01:00:00+00:00,"@RevMeshoe 

To justify fact that for 2 years the PCRhas been identifying normal flu as Corona, spawn flurona👎 

#JesusChrist
cc: @AfricanApostles @CUFI @MakerereCHS @Israel @Wits_SRC @UCT_SRC @StelliesSRC @RhodesSRC @NWU_SRC @UW @waikato @MailOnline @VP 
https://t.co/WfVaWYn5rt",,Twitter Web App
114,Weri VonDee 🏳️‍🌈,"Cape Town, South Africa","weed, gay tweets 🏳️‍🌈 and black lives matter (he/him)",False,2022-01-02 00:41:21+00:00,"Virus by Martin Garrix and MOTi is a lekker song to vibe with. (No, it has absolutely nothing to do with Miss Corona 🙄)",,Twitter Web App
115,Tina.,"Cape Town, South Africa",“Do it look like we stressin’?”,False,2022-01-01 21:13:19+00:00,Feverona…Corona and Flurona’s second cousin be like: https://t.co/QJefcMwg6P,,Twitter for iPhone
116,Tom Teulingkx,België,"Sportsmedicine, chairman SKA , working for Belgian cycling federation, love my job",False,2022-01-01 20:08:19+00:00,Infographic corona en sport https://t.co/zfHH6kq79I,,Twitter Web App
117,Kian Eriksen,"Cape Town, South Africa","takes pics, designs things",False,2022-01-01 20:04:43+00:00,"@ziggibson @ProfTimNoakes Wow! So sorry, i didn’t realize you are an expert on viruses and vaccines and that HIV and TB is just like a corona virus. 😂",,Twitter for iPhone
118,Ven69💀🎸,"Eastern Cape, South Africa","Loves motivation, good humor, good music, good food, strong coffee and sport. Non-drinker. Take your racism elsewhere.",False,2022-01-01 19:51:28+00:00,@GreatMaestrojoy Even Corona will stay outta that neighbourhood! 😳,,Twitter for Android
119,Lee,South Africa,By all means protect your peace. ✌️||,False,2022-01-01 19:41:16+00:00,@TareinB True. But it tasted like Corona hence I didn't like it.. I guess I like my sugar drinks,,Twitter for Android
120,Africa 🇿🇦💖,South Africa,I love the root of all evils😛 | Brenda Fassie😘 | Winnie Madikizela-Mandela City.🔥😍❤✊,False,2022-01-01 17:28:39+00:00,@Khetha27154512 @NhlakainphoM @CyrilRamaphosa Yeah skeem and Corona should be over as well or we unseat the current president.,,Twitter for Android
121,Minenhle Mncwabe,"Cape Town, South Africa",African Amateur Individual Chess championship 🥈State Team Champs 🥇 For Business or tournaments: minenhlemncwabe0@gmail.com,False,2022-01-01 16:57:17+00:00,"@chess24com 1 @FIDE_chess get the gift from fide to go to olympiad and be a guest (winner of checkmate corona virus). Play a tournament in Russia and get experience
2. reach 2. 1k elo rating
3.Achieve a goal of 1k subs on YT in our channel kasichess (talent search, tourny in South SA)",,Twitter for Android
122,Crypto Geesus 💜,"Cape Town, South Africa",I'm so over politics. And into Crypto. If you’re an anti-vaxxer then unfollow me now. No time for fools. #banterfam,False,2022-01-01 16:11:27+00:00,"Guys and girls 

Do yourself a favor and watch this. It really opened my eyes to what’s going on with corona, the vaccines and governments. It’s 3 hours long but well worth it. 

Thx @OhFuckItsRayner for pushing me to watch it. 

https://t.co/XjDdd5qsmJ https://t.co/KiNQ5eqTuu",,Twitter for iPhone
123,Moraka 2nd wa Phooko,Afrika Borwa,Leave primitive ideologies out or modernize them,False,2022-01-01 15:58:38+00:00,@Nonhla07093304 @Raesibe75539938 @Mngxitama2 He's still walking in the shadow of virus danger like the rest of the unvaccinated because Corona is not going anywhere my friend,,Twitter for Android
124,Muhammed Sheik,"Cape Town, Western Cape",Muslim | Medical Doctor | Passionate about Quraan | Youth Development | Radio Presenter @VOCfm | PRO @judasaofficial,False,2022-01-01 15:09:44+00:00,"People celebrating the lifting of curfew hours and partying away masklessly, thinking that Corona viruses left us, are exactly the reason COVID is here to stay.

Here's to 2024 for the earliest festivities! 

For now, let's 'enjoy' peoples lapse of judgement.

Booze now-Pay later",,Twitter for Android
125,Gondos Irina,België,,False,2022-01-01 14:05:22+00:00,@BTS_twt_MlNSUGA and we most want the corona to disappear so we can come to concerts 👍👍👍👍🥰🥰🥰💜💜🙆‍♀️🙆‍♀️🙆‍♀️😉😉😉,,Twitter for Android
126,lindy,South Africa,strong silent type,False,2022-01-01 12:23:34+00:00,This mom in the street is telling her child corona is gonna come get her if she doesn’t go back in the house. Is this the updated “that uncle is gonna kidnap you if you don’t behave” ?  😭,,Twitter for iPhone
127,Sib,South Africa,portal of unpopular opinions,False,2022-01-01 12:18:40+00:00,"It had so many upgrades, corona decided to come back with a collab now https://t.co/EL7Q3nvA02",,Twitter for iPhone
128,Africa 🇿🇦💖,South Africa,I love the root of all evils😛 | Brenda Fassie😘 | Winnie Madikizela-Mandela City.🔥😍❤✊,False,2022-01-01 10:41:52+00:00,"@CyrilRamaphosa Yima where is Corona? Why are you quiet? What are you guys and your ""bosses"" up to? Have you given a name of a new variant? Do you sleep peaceful like very peaceful at night?

NB: I'm not accusing you with anything, I'm just asking questions.",,Twitter for Android
129,Jaco Joubert,South Africa,I just am,False,2022-01-01 10:00:13+00:00,So wie is positief vir Wingerd Corona 22?,,Twitter for Android
130,StormerFreak,"Cape Town, South Africa","Love rugby, detest racism, fight for fairness.Tired of anti Vax propaganda😴. Instead of screaming from rooftops, simply don't take it! Your life, your choice!",False,2022-01-01 09:59:26+00:00,"@alfred_cabonena Possibly the proof of the weakening of Corona virus till it becomes just another Flu variant?  If so, light at the end of tunnel at last",,Twitter for Android
131,Syn Rank,South Africa,,False,2022-01-01 08:54:27+00:00,"@AdvoBarryRoux Give a guy a break,corona ruined everything,the economy,job etc",,Twitter for Android
132,Den,South Africa,"IT: Business Analysis 👨🏾‍🎓 
House Music enthusiast
Entrepreneur 
Profound Roar 🦁",False,2022-01-01 07:08:58+00:00,"@TOPSatSPAR please teach your employees at hammarsdale Tops about false advertising. Box of Corona Beer was written on the fridge as R299. On the till it was R369 instead of rectifying this, the manager was hella rude. Very dissapointing!",,Twitter Web App
133,Simon Motswana,South Africa,Being black and proud,False,2022-01-01 07:01:49+00:00,@LandNoli Weak explanation and did the Corona Council approve this move?  What ever that committee is called,,Twitter for Android
134,𝕶𝖊𝖛𝖎𝖓 𝖙𝖍𝖊 𝕬𝖙𝖍𝖊𝖎𝖘𝖙,"Cape Town, South Africa ","MAGA IS CANCELLED !!
I do not know all the facts but I aspire to learn as much as I can #secularism
I do follow back if you follow
DMs not for dating or romance",False,2022-01-01 06:29:10+00:00,@GOP Corona Virus is red,,Twitter Web App
135,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2022-01-01 05:35:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0ZhjhQX https://t.co/NEgLSwapDm","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
136,RubicsC,South Africa,"Aspiring##

Python backend Developer, Bug Bounty Hunter.

Caution!! 
Noob on board!",False,2022-01-01 05:27:33+00:00,Flu and Corona just had a kid??😳😳...we F****kd.. https://t.co/CU0kksJ3iU,,Twitter for Android
137,TheTrue_Owl,South Africa ,Sup. I'm a weeb and I'm in high school. bored so feel free to dm.,False,2022-01-01 03:01:28+00:00,@_Izitto @MagieKarp @papauwuplays Unpopular opinion corona sucks. I'm with magie on this I had one earlier it sucked ass bro,,Twitter for Android
138,TheTrue_Owl,South Africa ,Sup. I'm a weeb and I'm in high school. bored so feel free to dm.,False,2022-01-01 01:54:13+00:00,@Skawtzilla Yesssirr already took a few shots and had a couple corona... unpopular opinion they suck,,Twitter for Android
139,gabriella nikky,south africa,I’m just grateful🙏🏽🙏🏽💫🌹,False,2022-01-01 01:12:03+00:00,"@DrOlufunmilayo God have mercy, double infection of corona and flu virus ke ? Aahhann , eyi po oo🙄",,Twitter for iPhone
140,Ruan Bekker 🇿🇦,South Africa,"DevOps Engineer | Linux Fanatic | AWS, 🐳Containers, 📈Observability,📝Blogger @sysadmins | 🎸 Guitarist | ex @awscloud | Opinions are my own",False,2021-12-31 23:29:51+00:00,@alejandrojnm Happy New Year 🚀 i just had a Corona myself a couple of hours ago. All of the best for the new year!,,Twitter for iPhone
141,Skobo Se-se Nice,South Africa,I have random moments where what I tweet actually makes sense... UNBEARDED...UNBOTHERED IG: @i_am_lipo •I am the stone that the builder refused•,False,2021-12-31 22:12:17+00:00,"Been here 30 min

I've had

Corona
3 shots
Champaign",,Twitter for Android
142,BethR,South Africa ,"ɪ'ᴍ ᴊᴜsᴛ sᴇᴇᴋɪɴɢ ᴛʜᴇ ᴛʀᴜᴛʜ ɪɴ ᴛʜɪs ғᴀᴋᴇ ᴡᴏʀʟᴅ , ɪ ɴᴇᴇᴅ ᴘᴇᴀᴄᴇ",False,2021-12-31 21:52:47+00:00,@sunhill08 Yup saw the news think it was china that threw their pets out of apartment buildings. Man that broke my heart still does . Some animals was vaccinated in 2018 or something for corona I did post about it .,,Twitter for Android
143,Cherub 👼🧚‍♀️💛,South Africa,"Honest, fun, highly independent, golden 💛 I love my only son sooo much❤ and most importantly am a God fearing woman🙏",False,2021-12-31 21:49:48+00:00,"We are 10 munites away from 2022 🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️💃💃💃💃🌺🌺🌺🌺🌷🌷🌷💚💚💚  corona asikusabi🚮🚮🚮🚮

#UkhozifmNYE asibe happy lady du https://t.co/hVdpO1Rb95",['UkhozifmNYE'],Twitter for Android
144,📀Gugu Nogwebela,South Africa,Don't complicate it...just follow🏳️‍🌈🇿🇦,False,2021-12-31 21:03:04+00:00,"@ZiieCmelan I've been having it for a few days, even thought it's a new side effect for corona",,Twitter for Android
145,Sizwe,South Africa,Three Times Cum- Laude Graduate👨‍🎓👩‍🎓👨‍🎓📚 Brand influencer.. Social Media Strategist. Tech enthusiast !! Passion in Inclusive Education.,False,2021-12-31 20:55:49+00:00,"Florona its world cup final of Flue vs Corona 

Venue: Israel https://t.co/WNJb8VhaEz",,Twitter for iPhone
146,LO. 🌻,South Africa,"Be cool in real life, not just on the internet. No rain, no flowers. 💜 🚀",False,2021-12-31 20:43:25+00:00,"Corona and influenza? Lord, have mercy!",,Twitter for iPhone
147,Lady Harlow,"Cape Town, South Africa",she/they 🌈,False,2021-12-31 19:40:12+00:00,FLORONA???? Corona doing collabs now???? I hate it here! I’ve seen enough. I truly have witnessed enough. I’m good. Lemme go see the father! https://t.co/T4wrxLsUhO,,Twitter for iPhone
148,SPANKDADDY 8000,"Cape Town, South Africa","G
E
M",False,2021-12-31 19:27:50+00:00,"Ngihleli ngedwa layndlini with a 12 pack of Corona listening to @isaiahrashad . 
Idk but this might be one of my nicest Decembers mate",,Twitter for Android
149,Luke,"Cape Town, South Africa","Raconteur, flaneur, connoisseur, saboteur. Wine lover. Quant. Actuarial student. Views are my own, not my employer’s.",False,2021-12-31 19:19:56+00:00,"First bubbly of the evening - the leesy and decadent ‘15 Kleine Zalze

… well-deserved after a dry Christmas (thanks Corona 🤦‍♂️)

And a tidy celebration in my new flat !! https://t.co/KF7RAVdEDu",,Twitter for iPhone
150,Maurovici is Not Real,South Africa,""" I’m not drowning , I’m waiting in the water "" Graphic Design and Branding",False,2021-12-31 18:52:29+00:00,@Mxthunjwa Lol it’s cooking me that thing ima take a break . Corona only,,Twitter for iPhone
151,Wade John Beckett,"Cape Town, South Africa","#lovewins #unmask #disobey #organichuman #monero #peacefulnoncompliance #fearisthemindkiller #civildisobedience

https://t.co/Etl2eWmDrh",False,2021-12-31 17:21:39+00:00,"My 7-year-old nephew - ""We should call corona poo-rona, because it's all a bunch of pooh"".

🤣",,Twitter Web App
152,Sîmtärndilé ♎,South Africa,"Live in the moment, Man City💙 Afrobeats❤️ For Peace of Mind I Drink Water and Mind my Business, Ambidextrous",False,2021-12-31 17:17:56+00:00,So what are we leaving in 2021 except Corona? 😂,,Twitter for Android
153,Madoda Oyiya,South Africa,Xhosa | That #LiquidMEvents Guy | Instagram @dopla_101 🇿🇦🏳️‍🌈,False,2021-12-31 16:36:11+00:00,@MURKYCLEAR Just had 1 corona … angikho right 🤦🏾‍♂️ maybe I should try another one 🤡😭😩,,Twitter for iPhone
154,AQA,Cape Town - South Africa,DECLARE @bio varchar(160) SET @bio = 'Sneaker Head' PRINT @bio,False,2021-12-31 16:01:44+00:00,What is this about Florona now? A flu and Corona hybrid? Somebody ask Neo to go reboot the matrix abeg,,Twitter for iPhone
155,Pal Mabelane,Burgersfort,"Father, Son, Brother, Friend #Khosi4life, @FCBarcelona and @LCFC. Simple man with simple thoughts.Instagram leagak82",False,2021-12-31 15:35:35+00:00,"Bruh, got to @PicknPay Liquor Steelpoort ke re ke itshware ka 24 Corona, ba re e fedile ka 10AM....ka 1PM ba ba hlokileng Corona ba feditše Sol le Miller. Gin &amp; Tonic it is...",,Twitter for Android
156,Sirboring🇿🇦🇿🇦🇿🇦,South Africa,DM if I make You Smile.,False,2021-12-31 14:28:04+00:00,So Corona and the flu now breeding viruses like a Cape Flats backyard dog breeder https://t.co/MTSXHv8JUA,,Twitter for Android
157,Tumishi Nkoana,"Centurion, South Africa",,False,2021-12-31 13:39:46+00:00,"@SABreakingNews That will be a miracle like corona virus waiting for elections to pass then boom, OMICRON after elections. From 1994 ANC took  over people started losing jobs then boom..!2022 ANC creating JOBS.",,Twitter for Android
158,MisuKatlehong,South Africa,.,False,2021-12-31 12:46:15+00:00,@LordKissypants And then he uses the same sticks to eat then go hug and kiss his parents voila Corona is born......mxm.,,Twitter for Android
159,𐍃ᴛᴜɴɴᴇ𐍂,"Atlantis, South Africa",alter ego of @stunner_twtz,False,2021-12-31 11:20:58+00:00,@Corona_Anbe Watha,,Twitter for Android
160,𐍃ᴛᴜɴɴᴇ𐍂,"Atlantis, South Africa",alter ego of @stunner_twtz,False,2021-12-31 11:20:52+00:00,@Corona_Anbe ROFL bro 😂🤣😂🤣😂,,Twitter for Android
161,Reginah Diamond,South Africa,"I'm an ambitious gogetter, whose fascinated about financial markets and investsments.",False,2021-12-31 09:53:21+00:00,"@Lipra_LM @helenzille Yes that is very true, cos doctors have said that everyone who had omricon, now has a strong immune system and will be able to fight all the variants to come in the future...corona is now weak, it is just a mild flu now!",,Twitter for Android
162,Live. Read. Travel,South Africa,"Lover of life | Bookworm | Chief Travelling Officer | Digital Ninja | Skinvestor | Sunscreen lover
Instagram: @livereadtravel",False,2021-12-31 09:27:27+00:00,I think globally we should all agree that this is the last December we will be dealing with this Corona mess...,,Twitter for Android
163,𐍃ᴛᴜɴɴᴇ𐍂,"Atlantis, South Africa",alter ego of @stunner_twtz,False,2021-12-31 09:18:31+00:00,@Corona_Anbe Header vachiko 💆🏻,,Twitter for Android
164,🌻Lolo🌻,CAPE TOWN,You are only sane until diagnosed insane                   SC: King 👑,False,2021-12-31 09:06:24+00:00,"Jokes aside don’t drink and drive, it’s not attractive or cute. You think Corona can’t kill you, your car will.
Buy enough alcohol to keep you from driving, 
The couch is a bed too.
Eat food before you drink
Drink water (3-4l)",,Twitter for iPhone
165,100 tawa🕯💰,"Kwa-Thema, South Africa","Respect, Love and Value women For we are nothing without them.",False,2021-12-31 08:34:39+00:00,@Vaalian_016 @konolicious1 @She1laSm1th Maybe corona it can't be black label,,Twitter for Android
166,tracy mudu,South Africa,"Focused, You will like me if you not offended by facts. Don’t take self too seriously.",False,2021-12-31 08:26:05+00:00,"@dk_dax Its nauseating, they allowing cities that they rule to be pigsty in the name of Pan Africanism but all aspire to build in Cape Town, they disgust me. Corona also helped humble some racists there who thought their places is only for Europeans. I have no sympathy for that gang.",,Twitter for Android
167,Merentia v d Vent,"Cape Town, South Africa","Radio news achor & reporter

i RETWEET opinions & reactions & trends (NOT MY OWN)

Also 💕 #merentiasadventures 💖 
#merentiaskitchen 💝

newsmerentia@gmail.com",False,2021-12-31 07:51:55+00:00,"The tide is turning.

Finally the corona virus is on her way out.

But I digress, what are your New Year's Eve plans?",,Twitter for Android
168,🧚🏼‍♀️PeterPan21🦉,"Cape Town, South Africa",👅,False,2021-12-31 07:49:55+00:00,Corona is like heroin one it is in your system,,Twitter for Android
169,🇿🇦 H!lda Jansen 💞,"Mossel Bay, South Africa🇿🇦",,False,2021-12-31 07:41:11+00:00,@TimesLIVE There is no problem with this. Your grown go  get vaccine and wear your mask. But you'll get people who will stop wearing mask thinking there is no corona no social distance.,,Twitter for Android
170,ke Bokang.,"Cape Town, South Africa",i'm figuring it out,False,2021-12-31 07:14:56+00:00,Guys I am actually dead. The things peer pressure makes boys do🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣Ba re do you know how horrible the drink 'Corona' tastes🤣🤣🤣🤣🤣🤣,,Twitter for Android
171,Lolo Taunyane,South Africa,High Net Worth - Tax Practitioner 🇿🇦. An ambitious goal-setter with an earthy soul.Born n bred in Alex.💃🏻,False,2021-12-31 06:46:33+00:00,@nytimes Just wonder who came with these famous disturbing medically scientific names. Omnicron -Delta -Corona 🤷🏼‍♀️ https://t.co/oGw6LbiZ9k,,Twitter for iPhone
172,Ralph Kay,"Cape Town, South Africa","To the one whose got the most of the best, all the better, may the best man win. No man's happier until their end is known.",False,2021-12-31 06:17:06+00:00,@casspernyovest So you are not afraid of corona on a usb,,Twitter for Android
173,Sibongiseni Tyhali,"Kraaifontein, South Africa","Economic Freedom Fighter
follow backk",False,2021-12-31 06:08:59+00:00,@_Shoni_M No one said trafficking is a conspiracy..we all know that human trafficking exist...just like the corona virus exist...your tweet is almost like you are saying we dont know that human trafficking exist...,,Twitter for Android
174,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2021-12-31 05:30:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0ZhjhQX https://t.co/Yx1MscTkvp","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
175,Archi,South Africa,,False,2021-12-31 05:00:25+00:00,"@KhandaniM The Corona Virus Is A Non Existent Virus. Also, Was The President Advised By Science Again? Lol

People Now Know, That The Virus Is Just A Global Political Tool.
The Virus Isn't There, The Vaccines Are Useless!",,Twitter for Android
176,Jairah,,Until the end of time,False,2021-12-31 00:45:59+00:00,"I think south African it's a country where December vibe dominate more than Corona 😂🤣😂🤣...
Speaking at behalf of president Ramaphosa",,Twitter for Android
177,Khofi🇿🇦,South Africa,"complicated person 💦


please follow me i follow back instantly ❤️🌎 https://t.co/85mCgssQe8",False,2021-12-30 22:05:54+00:00,Whats the use of Curfew...just leave us alone guys kanti Corona efetela kadi nako 🤔 https://t.co/wiomfbRZoj,,Twitter for Android
178,MrCalv,,,False,2021-12-30 21:22:23+00:00,"The place to be this NYE is Grand Africa Beach with @GoldFishLive!
All events include Free COVID testing upon arrival before entry. 

Get your tickets: https://t.co/Kq8VmsGzMQ  
 #ThisIsLiving #ChasingSunsets #ad @corona https://t.co/qhsd0RKlp5",,Twitter for iPhone
179,Moraka 2nd wa Phooko,Afrika Borwa,Leave primitive ideologies out or modernize them,False,2021-12-30 20:49:41+00:00,"@ThabangWaAfrika @simbachitando @HomeAffairsSA True, ANC took a huge risk with this ZEP thing and now the risk is real and threatening to remove ANC from power ,...Zanupf has infected ANC with its corona",,Twitter for Android
180,Th3__Cr3at0r,South Africa,“DEFEATED THE ODDS” “IT TAKES COURAGE” “FATE” “FAITH” “SAMURAI” “DRAKE’s FAVOURITE SON” @manutd,False,2021-12-30 20:20:44+00:00,@DSaviolus Days before Corona,,Twitter for iPhone
181,Monty,South Africa ,Life is a Continual Learning Process ● I choose Me ● I Write What I Like ~ Biko ● Tweets Mine ● Noncomformist ● Lead Life ● #OrlandoPiratesFC ●,False,2021-12-30 19:22:56+00:00,MEDIA RELEASE: CABINET APPROVES CHANGES TO COVID-19 REGULATIONS - SA Corona Virus Online Portal https://t.co/g4E1Hn64Xa,,Twitter for iPhone
182,Svitro Mvulane,Bergville,I hate it when people pour my cereal. They don't know how much I want. They don't know my life. They don't know what I've been through.,False,2021-12-30 19:19:58+00:00,Corona takes leave tomorrow? 🤔🤔 https://t.co/jLb2o6VF7t,,Twitter for Android
183,Gift,"Durban,KZN,South Africa",Enemy of group think and the Thought Police. PR & Comms. Free markets. Barca Fanatic!,False,2021-12-30 14:26:47+00:00,@Phindulor not him bhebhing livestock please. We already have corona https://t.co/oo9CmyROQO,,Twitter for iPhone
184,Jay Caboz,South Africa,"I tell stories. Passionate about environment and sustainability. Landscape photographer.

CNN Africa Journalist of the Year winner and more",False,2021-12-30 14:24:57+00:00,"Chasing the sun in the African bush. 
#ThisIsLiving #ChasingSunsets #Ad @corona https://t.co/H23FaQXtOO","['ThisIsLiving', 'ChasingSunsets', 'Ad']",Twitter for Android
185,Mimi, South Africa,🎨👩‍🎨👗 👩‍🎓🐣🍾📚,False,2021-12-30 12:41:32+00:00,"Saw a 8/9 year old downing his mom's Corona bev, I alerted the mom thinking he's steeling. The mom said, ""yena o rata byala shem"" 

Me https://t.co/xwDaOrTpLi",,Twitter for Android
186,Jacques,South Africa,,False,2021-12-30 10:59:22+00:00,@SkyeZedA That plakkies patel is the kind of mofgat that takes sickleave when he gets hayfever.  Pitty corona is not as deadly as they claim it tonbe.,,Twitter Web App
187,khenn...like barbie's ken 🏳️‍🌈,South Africa,"genderfluid (he/they)
pansexual
poly",False,2021-12-30 10:19:54+00:00,@Von_Pinzey No but she's too much shem. Phela she drank all the blacks and had the audacity to ask me for the two corona's she left,,Twitter for Android
188,Crypto Geesus 💜,"Cape Town, South Africa",I'm so over politics. And into Crypto. If you’re an anti-vaxxer then unfollow me now. No time for fools. #banterfam,False,2021-12-30 09:22:15+00:00,@SunflowerSrina @RobPadoa @RWranglebury Sure. But deaths from corona can be prevented,,Twitter for iPhone
189,Hennie Joubert,Durbanville,Very good specimen,False,2021-12-30 09:10:19+00:00,@thepaulwilliams Nothing as refreshing as an ice cold Corona!,,Twitter for Android
